Player;Team;Position;16/17 Cap Hit;17/18 Cap Hit;16/17 Salary;17/18 Salary;18/19 Salary;19/20 Salary;20/21 Salary
Rielly, Morgan;TOR;Defence;5.000;5.000;5.000;5.000;5.000;5.000;5.000
DeKeyser, Danny;DET;Defence;5.000;5.000;4.000;5.500;5.500;5.500;4.500
Grabovski, Mikhail;NYI;Center;5.000;5.000;5.000;6.000;UFA;;
Brassard, Derick;OTT;Center;5.000;5.000;5.000;3.500;3.500;UFA;
MacDonald, Andrew;PHI;Defence;5.000;5.000;4.750;5.250;5.500;5.750;UFA
Moulson, Matt;BUF;Left;5.000;5.000;5.000;5.000;3.000;UFA;
Filppula, Valtteri;PHI;Center;5.000;5.000;5.000;5.000;UFA;;
Pronger, Chris;ARI;Defence;4.921;0.000;0.525;UFA;;;
Methot, Marc;OTT;Defence;4.900;4.900;4.900;4.900;4.900;UFA;
Vatanen, Sami;ANA;Defence;4.875;4.875;5.000;5.000;5.000;4.500;UFA
Gaborik, Marian;LAK;Left;4.875;4.875;6.075;5.075;4.575;3.175;3.075
Martin, Paul;SJS;Defence;4.850;4.850;5.000;4.400;4.250;UFA;
Clowe, Ryane;NJD;Right;4.850;4.850;4.850;4.850;UFA;;
Doan, Shane;ARI;Right;4.840;0.000;3.876;UFA;;;
Faulk, Justin;CAR;Defence;4.833;4.833;5.500;5.500;6.000;6.000;UFA
Kucherov, Nikita;TBL;Right;4.767;4.767;4.250;4.500;5.550;RFA;
Bishop, Ben;LAK;Goaltender;4.760;0.000;5.950;UFA;;;
Kronwall, Niklas;DET;Defence;4.750;4.750;5.500;3.500;1.750;UFA;
Hartnell, Scott;CLB;Right;4.750;4.750;5.000;4.500;3.000;UFA;
Trocheck, Vincent;FLA;Center;4.750;4.750;3.750;4.500;5.250;5.250;3.500
Soderberg, Carl;COL;Center;4.750;4.750;4.750;5.000;5.000;4.000;UFA
Nyquist, Gustav;DET;Center;4.750;4.750;4.250;5.250;5.500;UFA;
Lehtera, Jori;STL;Center;4.700;4.700;4.400;4.700;5.000;UFA;
Little, Bryan;WPG;Center;4.700;4.700;5.000;5.000;UFA;;
McDonagh, Ryan;NYR;Defence;4.700;4.700;5.000;5.100;5.300;UFA;
MacArthur, Clarke;OTT;Left;4.650;4.650;4.500;4.750;4.750;4.750;UFA
Brodie, T.J.;CGY;Defence;4.650;4.650;4.838;4.838;4.838;4.838;UFA
Palmieri, Kyle;NJD;Center;4.650;4.650;4.500;4.500;5.000;5.000;4.250
Kreider, Chris;NYR;Left;4.625;4.625;5.000;5.000;4.500;4.000;UFA
Garrison, Jason;TBL;Defence;4.600;4.600;3.600;2.500;UFA;;
Ennis, Tyler;BUF;Left;4.600;4.600;3.650;3.650;3.650;UFA;
Johansson, Marcus;WAS;Center;4.583;4.583;4.250;4.750;4.750;UFA;
Anisimov, Artem;CHI;Center;4.550;4.550;5.750;5.000;5.000;4.000;3.000
Luongo, Roberto;FLA;Goaltender;4.533;4.533;6.714;6.714;3.382;1.618;1.000
Burrows, Alexandre;VAN;Left;4.500;0.000;3.000;UFA;;;
Stralman, Anton;TBL;Defence;4.500;4.500;4.500;4.500;4.500;UFA;
Brouwer, Troy;CGY;Right;4.500;4.500;4.500;4.500;4.500;4.500;UFA
Pacioretty, Max;MTL;Left;4.500;4.500;5.000;5.000;5.000;UFA;
Niemi, Antti;DAL;Goaltender;4.500;4.500;4.500;4.500;UFA;;
Kadri, Nazem;TOR;Center;4.500;4.500;5.000;5.000;4.500;4.500;4.000
Marchand, Brad;BOS;Center;4.500;6.125;5.000;8.000;8.000;7.500;5.000
Beauchemin, Francois;COL;Defence;4.500;4.500;4.500;4.500;UFA;;
Demers, Jason;FLA;Defence;4.500;4.500;5.500;5.400;4.400;3.600;3.600
Zuccarello, Mats;NYR;Left;4.500;4.500;4.500;4.500;4.500;UFA;
Halak, Jaroslav;NYI;Goaltender;4.500;4.500;4.750;5.000;UFA;;
Laich, Brooks;TOR;Center;4.500;0.000;4.000;UFA;;;
Burrows, Alexandre;OTT;Left;4.500;2.500;3.000;2.500;2.500;UFA;
Halak, Jaroslav;NYI;Goaltender;4.500;4.500;4.750;5.000;UFA;;
Laich, Brooks;TOR;Center;4.500;0.000;4.000;UFA;;;
Tanev, Christopher;VAN;Defence;4.450;4.450;3.500;5.000;5.000;5.250;UFA
Killorn, Alex;TBL;Center;4.450;4.450;4.450;4.450;4.450;4.450;4.450
Fisher, Mike;NAS;Center;4.400;0.000;4.000;UFA;;;
Sutter, Brandon;VAN;Center;4.375;4.375;4.250;4.250;4.375;4.500;4.500
Johnson, Jack;CLB;Defence;4.357;4.357;5.000;5.000;UFA;;
